OBJECTID,rgn_typ,rgn_id,rgn_nam,rgn_key,are_km2,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index_,LE,LIV,LSP,MAR,NP,SP,SPP,TR,trnd_sc,Shape__Area,Shape__Length
30,eez,126,Trinidad and Tobago,TTO,75798.4651196,84.58,91.66,87.86,94.73,61.33,82.08,38.51,38.51,93.83,73.34,62.55,85.12,88.17,23.19,0,4.77,48.27,89.49,28.71,-1.91,79847322961.5112,1713822.99092542
31,eez,127,Saint Vincent and the Grenadines,VCT,36510.9524175,63.98,91.47,74.76,92.07,61.01,22.05,32.95,32.95,92.41,78.37,57.13,27.17,32.3,30.42,0,25.5,54.39,90.53,48.02,0.64,37323317398.1777,959277.322078783
32,eez,129,Panama,PAN,332643.54762,77.52,80.19,65.79,42.96,63.39,100,55.52,50.68,72.3,68.98,64.99,100,100,48.54,8.99,45.14,58.76,88.08,65.45,0.46,342649108254.185,4687123.3897442
33,eez,13,Northern Mariana Islands and Guam,MNP,976202.871961,85.72,88.09,97.46,92.66,61.72,48.43,76.55,76.15,98.55,61.95,76.81,63.58,78.73,42.04,0.74,0,51.99,77.64,73.94,-0.53,1060418082179.25,4166588.52831414
34,eez,130,Costa Rica,CRI,576132.396748,70.34,88.68,77.32,68.85,70.3,100,32.5,29,94.11,70.16,62.06,76.22,52.44,57.97,7.03,18.78,64.07,83.25,57.01,-0.03,581442445420.683,4086734.6499586
35,eez,131,Nicaragua,NIC,223935.236133,57.02,78.72,30.13,9.76,66.6,100,35.09,38.35,68.53,67.19,45.3,79.55,59.1,100,47.17,2.33,83.6,88.92,6.92,-0.76,237870057907.14,4788861.60422334
36,eez,132,Colombia,COL,730703.10229,69.2,75.82,81.32,71.51,61.14,100,30.42,28.77,65.99,67.29,56.24,80.44,60.89,66.25,0.84,2.96,66.77,85.65,24.46,-0.75,756511138160.829,7816847.80948269
37,eez,133,Honduras,HND,219971.148302,56.13,89.33,95.48,88.29,58.47,100,41.94,36.28,89.48,71.74,65.55,94,88.01,100,28.99,44.46,85.87,89.18,7.17,0.19,241295925256.401,2811692.19025069
38,eez,134,El Salvador,SLV,94238.049921,72.6,84.17,62.75,62.48,45.05,100,29.96,28.29,83.5,60.87,52.15,71.13,42.25,98.15,0.8,10.79,79.51,84.83,4.74,-0.67,97045019053.708,1406603.47297201
39,eez,135,Mexico,MEX,3284659.72318,70.78,87,81.19,75.69,63.48,100,34.56,33.3,90.74,65.69,68.29,72.89,45.79,100,18.16,29.33,82.85,83.27,86.33,-0.48,3817200565758.57,21124165.7555811
40,eez,136,Guatemala,GTM,118336.353605,58.53,90.06,96.55,96.23,32.11,100,39.42,26.84,98.52,71.98,59.04,100,100,92.51,16.31,4.01,82.24,81.6,3.87,-1.11,120889874753.854,1659903.63999671
41,eez,137,Ecuador,ECU,1079918.44682,69.01,87.13,81.85,78.35,66.88,100,54.43,76.43,95.6,65.63,72.12,100,100,100,100,56.88,82.81,78.66,21.85,0.59,1077060308196.23,6998600.22704032
42,eez,138,Peru,PER,838324.362495,76.28,76.38,56.18,56.07,57.16,45.42,62.74,62.42,77.75,67.82,58.16,63.12,80.82,47.34,21.47,52.22,57.58,75.01,24.2,-0.11,872146902895.21,5710828.09608194
43,eez,139,Venezuela,VEN,473325.114899,77.2,84.38,80.56,87.51,61.58,95.69,41.19,37.98,85.22,65.03,60.23,82.98,70.28,79.07,4.32,15.5,72.05,83.55,2.57,0.23,497743026311.153,7204005.8297893
44,eez,14,Taiwan,TWN,342997.020084,88.19,93.21,97.89,95.63,41.77,96.85,43.67,41.93,95.32,65.46,65.46,92.06,87.26,23.51,33.84,32.27,44.48,91.1,27.2,-0.44,393514354351.416,4456659.9381416
45,eez,140,Guadeloupe and Martinique,GLP-MTQ,138683.404744,87.97,92.16,96.41,99.94,71.31,32.79,18.16,18.05,94.98,75.25,72.6,65.51,98.24,100,0.18,0,87.63,89.34,34.39,0.09,151230975147.271,3343768.36084558
46,eez,141,Faeroe Islands,FRO,266720.483433,97.03,89.81,0,0,74.09,90.64,56.82,66.75,100,76.03,67.79,88.19,85.75,8.91,100,36.76,42.47,79.62,47.17,0.77,1256597944365.43,5009341.62419371
47,eez,143,Iceland,ISL,752783.414734,98.1,70.65,0,0,79.3,43.77,65,65.57,60.91,58.22,69.45,64.4,85.03,39.48,100,39.08,48.85,80.39,89.63,0.39,4180120530086.97,16844477.823029
48,eez,144,Jan Mayen,SJM,291233.691162,96.18,56.94,0,0,92.58,90.64,65.43,65.43,37.62,75,81.14,88.19,85.75,100,0,0,87.5,76.26,0,-0.5,2785955138564.94,6645052.54715242
49,eez,145,Greenland,GRL,2264464.44011,97.03,89.54,94.69,0,94.44,100,62.05,62.05,93.72,65.46,74.23,100,100,99.34,0,0,82.4,85.37,47.93,0.06,57671865310763.7,164258286.639531
50,eez,146,Pitcairn,PCN,839476.222788,73.65,90.58,100,0,85.43,73.04,89.1,89.1,100,75.21,84.92,81.16,89.28,71.3,0,0,73.26,81.17,86.18,1.53,1008763315949.73,3920713.06970218
51,eez,147,French Polynesia,PYF,4795467.77549,65.95,89.53,99.57,91.63,87.02,46.41,55.48,54.18,97.59,66.96,78.14,73.2,100,0,27.11,98.03,33.48,81.48,88.85,0.28,5390059991231.8,11692343.3467947
52,eez,148,Line Group,KIR,1655965.58357,60.67,88.03,100,0,87.4,68.38,62.59,62.59,100,59.82,71.89,74.05,79.72,0,0,0,29.91,76.07,72.44,-0.86,1670786011458.77,7513727.89357132
53,eez,149,Jarvis Island,UMI,318799.103938,93.71,83.97,0,0,98.38,0,48.7,48.7,91.24,57.35,80.69,0,0,100,0,0,78.67,76.7,0,-0.67,312655108941.832,2048144.60309975
54,eez,15,Philippines,PHL,1835027.87937,64.44,84.81,92.39,68.68,52.6,46.76,68.02,59.46,83.59,61.88,66.25,45.21,43.67,36.82,13.84,92.37,49.35,86.03,53.2,1.18,1946767860483.22,19263947.3549368
